"id","longitude","latitude"
"EHI01272",147.02,-42.02
"EHI02760",146.21,-41.69
"EHI01342",139.04,-30.65
"EHI02846",147.32,-41.77
"EHI01253",146.91,-42.32
"EHI02796",146.24,-41.21
"EHI01254",147.02,-42.02
"EHI02826",148.28,-42.02
"EHI02824",148.28,-42.02
"EHI02823",147.96,-41.1
"EHI02840",145.6,-41.09
"EHI01258",146.91,-42.32
"EHI02773",146.24,-41.21
"EHI02817",147.7,-41.26
"EHI02772",148.28,-42.02
"EHI02806",147.7,-41.26
"EHI02831",147.14,-42.92
"EHI01266",116.96,-32.79
"EHI01339",146.91,-42.32
"EHI02801",146.24,-41.21
"EHI02812",147.97,-41.1
"EHI02836",147.24,-41.7
"EHI02082",116.47,-34.04
"EHI02841",146.72,-41.07
"EHI02770",148.24,-41.04
"EHI02792",147.71,-41.25
"EHI01340",139.04,-30.65
"EHI01341",116.96,-32.79
"EHI02098",116.47,-34.04
"EHI02776",147.97,-41.1
"EHI02769",148.27,-42.01
"EHI01389",116.47,-34.04
"EHI02767",147.7,-41.26
"EHI02819",145.48,-40.89
"EHI02064",116.47,-34.04
"EHI02811",145.4,-41.03
"EHI01268",147.02,-42.02
"EHI02804",146.21,-41.69
"EHI02780",145.6,-41.09
"EHI02789",145.6,-41.09
"EHI02835",145.48,-40.89
"EHI01343",116.47,-34.04
"EHI02785",147.12,-42.93
"EHI01271",139.04,-30.65
"EHI02843",146.72,-41.07
"EHI02779",147.14,-42.92
"EHI02822",145.4,-41.03
"EHI02797",146.21,-41.69
"EHI02074",116.47,-34.04
"EHI02830",145.61,-41.08
"EHI02784",148.24,-41.04
"EHI02766",147.14,-42.92
"EHI02771",146.21,-41.69
"EHI02768",148.27,-42.01
"EHI01270",116.47,-34.04
"EHI02832",147.32,-41.77
"EHI02844",146.72,-41.07
"EHI02829",145.6,-41.08
"EHI01264",116.47,-34.04
"EHI02837",146.24,-41.21
"EHI02774",145.4,-41.03
"EHI02845",147.32,-41.77
"EHI02775",145.4,-41.03
"EHI01259",146.91,-42.32
"EHI01387",139.04,-30.65
"EHI01248",147.02,-42.02
"EHI01257",139.04,-30.65
"EHI02839",147.96,-41.11
"EHI01273",139.04,-30.65
"EHI02838",145.48,-40.89
"EHI01265",147.02,-42.02
"EHI01345",116.47,-34.04
"EHI01256",139.04,-30.65
